Season,mean,median,std,min,max
Winter,44.33607191640787,34.563255,36.50380274535156,-18.76353,551.92748
Spring,35.77571152345304,29.5112,21.200269545727988,-52.80788,486.71245
Summer,47.3988555503702,34.78155,39.54939741820931,-0.99685,678.08934
Autumn,43.12378080119726,37.57009,23.616343452236347,-9.23685,440.50436
